# day W2 M2 W1 u B g V c r w o i z y J H K
0.000 -9.818 -9.615 -9.412 -8.559 -8.192 -8.014 -7.703 -7.827 -7.447 -7.631 -7.306 -7.025 -6.711 -6.468 -5.976 -5.341 -4.754
0.100 -14.623 -14.638 -14.574 -14.280 -14.078 -13.970 -13.774 -13.847 -13.598 -13.703 -13.498 -13.293 -13.051 -12.856 -12.452 -11.901 -11.375
0.200 -14.619 -14.776 -14.826 -14.868 -14.763 -14.693 -14.559 -14.607 -14.425 -14.493 -14.345 -14.177 -13.969 -13.797 -13.434 -12.919 -12.420
0.300 -14.443 -14.690 -14.832 -15.112 -15.084 -15.046 -14.960 -14.989 -14.859 -14.900 -14.796 -14.656 -14.475 -14.321 -13.988 -13.502 -13.023
0.400 -14.277 -14.580 -14.790 -15.240 -15.273 -15.260 -15.213 -15.227 -15.140 -15.160 -15.091 -14.974 -14.815 -14.675 -14.369 -13.907 -13.444
0.500 -14.088 -14.437 -14.709 -15.300 -15.385 -15.394 -15.380 -15.381 -15.330 -15.335 -15.294 -15.198 -15.059 -14.932 -14.649 -14.209 -13.761
0.600 -13.859 -14.253 -14.589 -15.313 -15.445 -15.474 -15.491 -15.482 -15.463 -15.455 -15.439 -15.362 -15.241 -15.127 -14.865 -14.445 -14.012
0.700 -13.585 -14.024 -14.431 -15.288 -15.468 -15.517 -15.562 -15.543 -15.555 -15.534 -15.542 -15.482 -15.379 -15.276 -15.035 -14.634 -14.215
0.800 -13.278 -13.758 -14.241 -15.232 -15.461 -15.529 -15.603 -15.574 -15.616 -15.584 -15.614 -15.571 -15.484 -15.392 -15.171 -14.789 -14.383
0.900 -12.954 -13.468 -14.028 -15.152 -15.429 -15.516 -15.618 -15.581 -15.652 -15.610 -15.661 -15.634 -15.563 -15.483 -15.281 -14.916 -14.524
1.000 -12.633 -13.172 -13.807 -15.053 -15.378 -15.485 -15.614 -15.569 -15.668 -15.616 -15.688 -15.677 -15.622 -15.551 -15.369 -15.022 -14.642
1.100 -12.347 -12.902 -13.602 -14.951 -15.320 -15.446 -15.601 -15.548 -15.673 -15.614 -15.703 -15.707 -15.667 -15.607 -15.442 -15.112 -14.744
1.200 -12.096 -12.660 -13.413 -14.848 -15.257 -15.399 -15.578 -15.518 -15.667 -15.601 -15.708 -15.725 -15.700 -15.649 -15.501 -15.187 -14.831
1.300 -11.893 -12.460 -13.256 -14.757 -15.199 -15.355 -15.554 -15.489 -15.660 -15.589 -15.709 -15.739 -15.727 -15.684 -15.551 -15.252 -14.908
1.400 -11.711 -12.282 -13.116 -14.674 -15.144 -15.313 -15.529 -15.460 -15.649 -15.574 -15.707 -15.748 -15.748 -15.713 -15.595 -15.308 -14.972
1.500 -11.560 -12.134 -13.002 -14.608 -15.102 -15.281 -15.512 -15.439 -15.643 -15.565 -15.708 -15.759 -15.769 -15.741 -15.635 -15.360 -15.032
1.600 -11.407 -11.982 -12.888 -14.544 -15.061 -15.249 -15.494 -15.418 -15.637 -15.556 -15.708 -15.768 -15.788 -15.767 -15.671 -15.405 -15.082
1.700 -11.266 -11.841 -12.785 -14.490 -15.028 -15.226 -15.483 -15.404 -15.635 -15.552 -15.713 -15.780 -15.808 -15.793 -15.707 -15.449 -15.130
1.800 -11.125 -11.698 -12.682 -14.437 -14.998 -15.204 -15.474 -15.391 -15.635 -15.550 -15.718 -15.792 -15.828 -15.818 -15.742 -15.491 -15.177
1.900 -10.977 -11.547 -12.572 -14.379 -14.964 -15.180 -15.462 -15.377 -15.633 -15.546 -15.722 -15.803 -15.847 -15.842 -15.774 -15.531 -15.222
2.000 -10.834 -11.398 -12.465 -14.322 -14.932 -15.157 -15.453 -15.364 -15.633 -15.544 -15.727 -15.816 -15.866 -15.866 -15.807 -15.571 -15.266
2.100 -10.691 -11.248 -12.357 -14.263 -14.898 -15.134 -15.442 -15.351 -15.633 -15.541 -15.732 -15.828 -15.886 -15.890 -15.838 -15.609 -15.310
2.200 -10.539 -11.087 -12.240 -14.197 -14.857 -15.104 -15.426 -15.332 -15.627 -15.534 -15.733 -15.836 -15.901 -15.910 -15.867 -15.645 -15.350
