# day	W2	M2	W1	u	g	r	i	z	y	J	H	K
0.000	-9.864	-9.826	-9.723	-9.311	-8.978	-8.569	-8.251	-7.997	-7.798	-7.379	-6.813	-6.276
0.250	-12.105	-12.460	-12.721	-13.275	-13.328	-13.238	-13.102	-12.965	-12.848	-12.578	-12.162	-11.736
0.500	-11.882	-12.353	-12.807	-13.748	-13.987	-14.038	-13.974	-13.878	-13.788	-13.567	-13.200	-12.813
0.750	-11.533	-12.065	-12.675	-13.890	-14.276	-14.440	-14.434	-14.372	-14.304	-14.120	-13.787	-13.427
1.000	-11.145	-11.709	-12.458	-13.897	-14.412	-14.675	-14.721	-14.690	-14.641	-14.489	-14.186	-13.848
1.250	-10.742	-11.319	-12.199	-13.829	-14.463	-14.817	-14.914	-14.912	-14.882	-14.760	-14.480	-14.154
1.500	-10.324	-10.896	-11.906	-13.707	-14.454	-14.895	-15.042	-15.069	-15.058	-14.965	-14.708	-14.393
1.750	-9.892	-10.446	-11.584	-13.543	-14.401	-14.926	-15.121	-15.177	-15.185	-15.123	-14.889	-14.588
2.000	-9.444	-9.963	-11.235	-13.341	-14.309	-14.918	-15.160	-15.246	-15.273	-15.242	-15.033	-14.747
2.250	-8.985	-9.453	-10.863	-13.107	-14.187	-14.878	-15.169	-15.284	-15.331	-15.332	-15.150	-14.880
2.500	-8.515	-8.915	-10.472	-12.844	-14.036	-14.811	-15.151	-15.296	-15.363	-15.398	-15.243	-14.990
2.750	-8.026	-8.340	-10.052	-12.546	-13.855	-14.716	-15.106	-15.283	-15.371	-15.441	-15.315	-15.080
3.000	-7.527	-7.734	-9.615	-12.221	-13.650	-14.597	-15.040	-15.248	-15.358	-15.465	-15.370	-15.154
3.250	-7.011	-7.088	-9.151	-11.862	-13.416	-14.453	-14.950	-15.192	-15.325	-15.470	-15.407	-15.212
3.500	-6.488	-6.410	-8.672	-11.476	-13.159	-14.288	-14.841	-15.118	-15.274	-15.460	-15.431	-15.258
3.750	-5.948	-5.687	-8.169	-11.054	-12.874	-14.099	-14.709	-15.023	-15.205	-15.433	-15.440	-15.290
4.000	-5.398	-4.924	-7.648	-10.599	-12.563	-13.887	-14.558	-14.911	-15.118	-15.391	-15.436	-15.311
4.250	-4.839	-4.122	-7.112	-10.114	-12.228	-13.655	-14.389	-14.781	-15.016	-15.336	-15.421	-15.321
4.500	-4.268	-3.275	-6.558	-9.593	-11.867	-13.400	-14.200	-14.634	-14.898	-15.266	-15.393	-15.321
4.750	-3.688	-2.385	-5.992	-9.039	-11.481	-13.124	-13.993	-14.470	-14.763	-15.183	-15.354	-15.310
5.000	-3.106	-1.461	-5.420	-8.459	-11.077	-12.832	-13.771	-14.292	-14.616	-15.089	-15.305	-15.291
5.250	-2.519	-0.501	-4.842	-7.852	-10.652	-12.522	-13.532	-14.098	-14.454	-14.982	-15.246	-15.263
5.500	-1.938	0.467	-4.270	-7.231	-10.215	-12.199	-13.280	-13.892	-14.280	-14.863	-15.176	-15.225
5.750	-1.601	0.996	-3.938	-6.868	-9.943	-11.984	-13.100	-13.735	-14.140	-14.752	-15.089	-15.156
6.000	-1.504	1.093	-3.841	-6.771	-9.846	-11.887	-13.003	-13.638	-14.043	-14.655	-14.992	-15.060
6.250	-1.407	1.190	-3.744	-6.674	-9.748	-11.789	-12.906	-13.540	-13.945	-14.557	-14.895	-14.962
