# day W2 M2 W1 u B g V c r w o i z y J H K
0.000 -11.134 -10.927 -10.721 -9.856 -9.486 -9.307 -8.993 -9.119 -8.735 -8.921 -8.594 -8.311 -7.995 -7.751 -7.257 -6.620 -6.032
0.100 -15.927 -15.867 -15.751 -15.282 -15.036 -14.910 -14.688 -14.773 -14.497 -14.618 -14.389 -14.171 -13.918 -13.717 -13.302 -12.742 -12.210
0.200 -15.816 -15.889 -15.870 -15.724 -15.571 -15.484 -15.324 -15.383 -15.176 -15.258 -15.090 -14.912 -14.697 -14.522 -14.154 -13.639 -13.139
0.300 -15.353 -15.553 -15.645 -15.808 -15.748 -15.699 -15.598 -15.633 -15.489 -15.539 -15.424 -15.281 -15.100 -14.947 -14.620 -14.142 -13.669
0.400 -14.769 -15.081 -15.296 -15.750 -15.782 -15.770 -15.725 -15.739 -15.656 -15.676 -15.610 -15.500 -15.349 -15.217 -14.926 -14.482 -14.033
0.500 -14.137 -14.542 -14.885 -15.608 -15.732 -15.757 -15.767 -15.760 -15.735 -15.729 -15.709 -15.630 -15.509 -15.396 -15.140 -14.728 -14.302
0.600 -13.490 -13.968 -14.442 -15.410 -15.624 -15.686 -15.749 -15.724 -15.755 -15.727 -15.749 -15.700 -15.609 -15.516 -15.293 -14.912 -14.507
0.700 -12.842 -13.372 -13.975 -15.169 -15.472 -15.570 -15.685 -15.644 -15.729 -15.682 -15.744 -15.725 -15.664 -15.589 -15.401 -15.050 -14.667
0.800 -12.192 -12.754 -13.487 -14.889 -15.280 -15.415 -15.582 -15.526 -15.664 -15.601 -15.700 -15.712 -15.681 -15.626 -15.472 -15.153 -14.792
0.900 -11.534 -12.109 -12.975 -14.571 -15.051 -15.223 -15.443 -15.372 -15.564 -15.488 -15.623 -15.665 -15.665 -15.631 -15.513 -15.225 -14.887
1.000 -10.862 -11.432 -12.435 -14.216 -14.787 -14.997 -15.270 -15.186 -15.432 -15.345 -15.513 -15.587 -15.619 -15.607 -15.526 -15.272 -14.957
1.100 -10.172 -10.719 -11.866 -13.822 -14.487 -14.737 -15.063 -14.967 -15.266 -15.172 -15.374 -15.479 -15.546 -15.556 -15.515 -15.296 -15.006
1.200 -9.471 -9.973 -11.272 -13.394 -14.155 -14.444 -14.825 -14.719 -15.073 -14.974 -15.207 -15.345 -15.448 -15.482 -15.482 -15.297 -15.028
1.300 -8.773 -9.212 -10.664 -12.936 -13.793 -14.123 -14.558 -14.444 -14.851 -14.752 -15.014 -15.185 -15.327 -15.386 -15.429 -15.279 -15.031
1.400 -8.109 -8.473 -10.066 -12.461 -13.409 -13.779 -14.267 -14.145 -14.604 -14.509 -14.797 -15.001 -15.182 -15.268 -15.357 -15.245 -15.020
1.500 -7.515 -7.816 -9.509 -11.988 -13.016 -13.421 -13.958 -13.832 -14.338 -14.250 -14.562 -14.797 -15.018 -15.130 -15.267 -15.195 -14.996
1.600 -7.026 -7.295 -9.030 -11.547 -12.632 -13.066 -13.643 -13.515 -14.061 -13.984 -14.313 -14.577 -14.836 -14.975 -15.160 -15.131 -14.959
1.700 -6.652 -6.920 -8.653 -11.170 -12.283 -12.735 -13.339 -13.211 -13.787 -13.721 -14.063 -14.351 -14.644 -14.808 -15.041 -15.055 -14.913
1.800 -6.377 -6.657 -8.374 -10.874 -11.987 -12.444 -13.060 -12.934 -13.527 -13.471 -13.821 -14.127 -14.448 -14.635 -14.912 -14.969 -14.857
1.900 -6.167 -6.454 -8.169 -10.657 -11.753 -12.206 -12.822 -12.698 -13.295 -13.247 -13.600 -13.915 -14.257 -14.461 -14.778 -14.875 -14.794
2.000 -6.000 -6.280 -8.012 -10.505 -11.587 -12.034 -12.643 -12.520 -13.114 -13.071 -13.422 -13.741 -14.094 -14.308 -14.650 -14.773 -14.712
2.100 -5.858 -6.122 -7.885 -10.394 -11.470 -11.911 -12.513 -12.390 -12.978 -12.936 -13.285 -13.602 -13.959 -14.179 -14.534 -14.673 -14.622
2.200 -5.729 -5.969 -7.771 -10.305 -11.380 -11.818 -12.412 -12.290 -12.870 -12.826 -13.172 -13.485 -13.840 -14.061 -14.426 -14.579 -14.540
2.300 -5.606 -5.819 -7.664 -10.226 -11.310 -11.746 -12.336 -12.212 -12.786 -12.738 -13.081 -13.389 -13.739 -13.958 -14.328 -14.493 -14.467
