# day	W2	M2	W1	u	g	r	i	z	y	J	H	K
0.000	-6.405	-6.364	-6.252	-5.785	-5.408	-4.950	-4.601	-4.327	-4.113	-3.668	-3.078	-2.522
0.250	-8.471	-8.854	-9.156	-9.795	-9.879	-9.799	-9.652	-9.498	-9.364	-9.052	-8.583	-8.110
0.500	-8.052	-8.554	-9.080	-10.151	-10.455	-10.550	-10.497	-10.400	-10.303	-10.054	-9.639	-9.203
0.750	-7.482	-8.041	-8.760	-10.152	-10.638	-10.875	-10.902	-10.852	-10.785	-10.588	-10.219	-9.813
1.000	-6.780	-7.357	-8.272	-9.950	-10.614	-10.988	-11.092	-11.088	-11.053	-10.907	-10.583	-10.207
1.250	-5.956	-6.511	-7.642	-9.591	-10.441	-10.957	-11.142	-11.187	-11.185	-11.094	-10.817	-10.473
1.500	-5.012	-5.493	-6.871	-9.084	-10.137	-10.806	-11.079	-11.179	-11.212	-11.183	-10.959	-10.650
1.750	-3.958	-4.295	-5.969	-8.434	-9.713	-10.547	-10.917	-11.078	-11.152	-11.191	-11.027	-10.758
2.000	-2.814	-2.913	-4.946	-7.640	-9.171	-10.186	-10.665	-10.893	-11.013	-11.130	-11.034	-10.810
2.250	-1.610	-1.359	-3.830	-6.711	-8.521	-9.732	-10.329	-10.632	-10.803	-11.009	-10.989	-10.816
2.500	-0.381	0.347	-2.654	-5.660	-7.775	-9.195	-9.921	-10.305	-10.533	-10.836	-10.901	-10.785
2.750	0.855	2.181	-1.449	-4.499	-6.945	-8.585	-9.448	-9.919	-10.208	-10.617	-10.776	-10.722
3.000	2.063	4.076	-0.260	-3.272	-6.065	-7.929	-8.932	-9.495	-9.847	-10.368	-10.626	-10.638
3.250	3.039	5.636	0.702	-2.228	-5.302	-7.343	-8.460	-9.094	-9.499	-10.111	-10.449	-10.516
3.500	3.235	5.832	0.898	-2.032	-5.106	-7.147	-8.264	-8.899	-9.303	-9.915	-10.253	-10.320
3.750	3.412	6.009	1.075	-1.855	-4.930	-6.970	-8.087	-8.722	-9.126	-9.738	-10.076	-10.143
4.000	3.570	6.167	1.233	-1.697	-4.772	-6.813	-7.929	-8.564	-8.969	-9.581	-9.918	-9.985
4.250	3.711	6.308	1.374	-1.556	-4.630	-6.671	-7.788	-8.422	-8.827	-9.439	-9.777	-9.844
4.500	3.840	6.437	1.503	-1.427	-4.501	-6.542	-7.659	-8.294	-8.698	-9.310	-9.648	-9.715
4.750	3.957	6.554	1.620	-1.310	-4.384	-6.425	-7.542	-8.177	-8.581	-9.193	-9.531	-9.598
5.000	4.066	6.663	1.729	-1.201	-4.276	-6.317	-7.433	-8.068	-8.473	-9.085	-9.422	-9.490
5.250	4.167	6.764	1.830	-1.100	-4.175	-6.215	-7.332	-7.967	-8.371	-8.984	-9.321	-9.388
5.500	4.262	6.859	1.925	-1.005	-4.079	-6.120	-7.237	-7.872	-8.276	-8.888	-9.226	-9.293
5.750	4.352	6.949	2.015	-0.915	-3.990	-6.030	-7.147	-7.782	-8.186	-8.799	-9.136	-9.203
6.000	4.437	7.034	2.100	-0.830	-3.904	-5.945	-7.062	-7.697	-8.101	-8.713	-9.051	-9.118
6.250	4.518	7.115	2.181	-0.749	-3.823	-5.864	-6.981	-7.616	-8.020	-8.632	-8.970	-9.037
6.500	4.596	7.193	2.259	-0.671	-3.746	-5.787	-6.903	-7.538	-7.943	-8.555	-8.892	-8.960
6.750	4.670	7.267	2.333	-0.597	-3.672	-5.713	-6.829	-7.464	-7.869	-8.481	-8.819	-8.886
7.000	4.740	7.337	2.404	-0.527	-3.601	-5.642	-6.759	-7.393	-7.798	-8.410	-8.748	-8.815
7.250	4.808	7.405	2.472	-0.459	-3.533	-5.574	-6.691	-7.325	-7.730	-8.342	-8.680	-8.747
7.500	4.874	7.471	2.537	-0.393	-3.468	-5.508	-6.625	-7.260	-7.664	-8.277	-8.614	-8.681
