# day	W2	M2	W1	u	g	r	i	z	y	J	H	K
0.000	-9.154	-9.237	-9.220	-9.080	-8.835	-8.490	-8.203	-7.965	-7.777	-7.374	-6.822	-6.294
0.250	-9.441	-9.942	-10.521	-11.747	-12.224	-12.500	-12.570	-12.553	-12.512	-12.362	-12.039	-11.666
0.500	-8.774	-9.336	-10.176	-11.791	-12.508	-12.988	-13.186	-13.254	-13.272	-13.226	-12.998	-12.691
0.750	-8.172	-8.732	-9.786	-11.668	-12.556	-13.172	-13.458	-13.584	-13.644	-13.675	-13.518	-13.261
1.000	-7.651	-8.173	-9.415	-11.503	-12.530	-13.250	-13.602	-13.773	-13.865	-13.956	-13.858	-13.643
1.250	-7.158	-7.618	-9.041	-11.301	-12.456	-13.267	-13.674	-13.883	-14.003	-14.146	-14.100	-13.922
1.500	-6.710	-7.089	-8.683	-11.089	-12.361	-13.252	-13.707	-13.948	-14.091	-14.280	-14.280	-14.136
1.750	-6.294	-6.576	-8.339	-10.867	-12.251	-13.216	-13.714	-13.982	-14.147	-14.376	-14.416	-14.304
2.000	-5.903	-6.076	-8.005	-10.639	-12.130	-13.165	-13.701	-13.995	-14.177	-14.442	-14.521	-14.438
2.250	-5.524	-5.572	-7.673	-10.400	-12.007	-13.120	-13.700	-14.017	-14.214	-14.500	-14.593	-14.518
2.500	-5.153	-5.060	-7.340	-10.148	-11.871	-13.065	-13.688	-14.029	-14.241	-14.546	-14.648	-14.576
2.750	-4.814	-4.574	-7.031	-9.903	-11.737	-13.004	-13.669	-14.032	-14.257	-14.580	-14.693	-14.625
3.000	-4.459	-4.052	-6.701	-9.629	-11.577	-12.920	-13.627	-14.015	-14.255	-14.599	-14.726	-14.664
3.250	-4.137	-3.562	-6.397	-9.367	-11.424	-12.837	-13.584	-13.994	-14.247	-14.612	-14.752	-14.696
3.500	-3.799	-3.035	-6.075	-9.078	-11.247	-12.733	-13.521	-13.955	-14.224	-14.612	-14.767	-14.720
3.750	-3.480	-2.524	-5.768	-8.793	-11.072	-12.627	-13.454	-13.911	-14.195	-14.605	-14.777	-14.739
4.000	-3.163	-2.004	-5.461	-8.499	-10.887	-12.510	-13.377	-13.857	-14.156	-14.590	-14.780	-14.752
4.250	-2.836	-1.456	-5.142	-8.183	-10.685	-12.378	-13.285	-13.789	-14.104	-14.564	-14.774	-14.758
4.500	-2.530	-0.932	-4.843	-7.880	-10.488	-12.247	-13.192	-13.720	-14.050	-14.535	-14.765	-14.761
4.750	-2.220	-0.393	-4.538	-7.562	-10.279	-12.104	-13.088	-13.639	-13.985	-14.497	-14.749	-14.759
5.000	-1.901	0.162	-4.226	-7.228	-10.056	-11.947	-12.970	-13.546	-13.910	-14.450	-14.726	-14.751
5.250	-1.599	0.691	-3.928	-6.905	-9.836	-11.789	-12.851	-13.451	-13.831	-14.400	-14.700	-14.742
5.500	-1.301	1.204	-3.635	-6.581	-9.611	-11.625	-12.725	-13.348	-13.745	-14.343	-14.669	-14.728
5.750	-1.138	1.459	-3.475	-6.405	-9.480	-11.520	-12.637	-13.272	-13.676	-14.289	-14.626	-14.693
6.000	-1.087	1.510	-3.424	-6.354	-9.428	-11.469	-12.586	-13.221	-13.625	-14.237	-14.575	-14.642
6.250	-1.036	1.561	-3.373	-6.303	-9.378	-11.419	-12.535	-13.170	-13.575	-14.187	-14.525	-14.592
6.500	-0.984	1.613	-3.321	-6.251	-9.325	-11.366	-12.483	-13.118	-13.522	-14.134	-14.472	-14.539
6.750	-0.927	1.670	-3.264	-6.194	-9.269	-11.310	-12.426	-13.061	-13.466	-14.078	-14.416	-14.483
7.000	-0.868	1.729	-3.205	-6.135	-9.209	-11.250	-12.367	-13.002	-13.406	-14.018	-14.356	-14.423
7.250	-0.808	1.789	-3.145	-6.075	-9.150	-11.191	-12.307	-12.942	-13.346	-13.959	-14.296	-14.363
7.500	-0.748	1.849	-3.085	-6.015	-9.090	-11.131	-12.247	-12.882	-13.287	-13.899	-14.237	-14.304
7.750	-0.687	1.910	-3.023	-5.954	-9.028	-11.069	-12.186	-12.820	-13.225	-13.837	-14.175	-14.242
8.000	-0.623	1.974	-2.959	-5.890	-8.964	-11.005	-12.121	-12.756	-13.161	-13.773	-14.111	-14.178
8.250	-0.557	2.040	-2.894	-5.824	-8.898	-10.939	-12.056	-12.691	-13.095	-13.707	-14.045	-14.112
8.500	-0.490	2.107	-2.827	-5.757	-8.832	-10.873	-11.989	-12.624	-13.029	-13.641	-13.978	-14.046
8.750	-0.424	2.173	-2.761	-5.691	-8.766	-10.807	-11.923	-12.558	-12.963	-13.575	-13.913	-13.980
9.000	-0.358	2.239	-2.695	-5.625	-8.700	-10.741	-11.857	-12.492	-12.897	-13.509	-13.846	-13.914
9.250	-0.291	2.306	-2.628	-5.558	-8.632	-10.673	-11.790	-12.425	-12.829	-13.441	-13.779	-13.846
9.500	-0.222	2.375	-2.559	-5.489	-8.564	-10.605	-11.721	-12.356	-12.761	-13.373	-13.710	-13.778
9.750	-0.153	2.444	-2.490	-5.420	-8.495	-10.536	-11.652	-12.287	-12.692	-13.304	-13.641	-13.708
10.000	-0.084	2.513	-2.421	-5.351	-8.425	-10.466	-11.583	-12.218	-12.622	-13.234	-13.572	-13.639
10.250	-0.016	2.581	-2.353	-5.283	-8.357	-10.398	-11.515	-12.149	-12.554	-13.166	-13.504	-13.571
10.500	0.052	2.649	-2.285	-5.215	-8.289	-10.330	-11.447	-12.082	-12.486	-13.098	-13.436	-13.503
10.750	0.120	2.717	-2.217	-5.147	-8.222	-10.263	-11.379	-12.014	-12.419	-13.031	-13.368	-13.435
11.000	0.188	2.785	-2.149	-5.079	-8.154	-10.195	-11.311	-11.946	-12.351	-12.963	-13.301	-13.368
11.250	0.255	2.852	-2.082	-5.012	-8.086	-10.127	-11.244	-11.879	-12.283	-12.895	-13.233	-13.300
11.500	0.322	2.919	-2.015	-4.945	-8.020	-10.060	-11.177	-11.812	-12.216	-12.829	-13.166	-13.233
11.750	0.389	2.986	-1.948	-4.878	-7.953	-9.994	-11.110	-11.745	-12.150	-12.762	-13.100	-13.167
12.000	0.454	3.051	-1.883	-4.813	-7.888	-9.929	-11.045	-11.680	-12.085	-12.697	-13.034	-13.102
12.250	0.518	3.114	-1.819	-4.749	-7.824	-9.865	-10.981	-11.616	-12.021	-12.633	-12.971	-13.038
12.500	0.580	3.177	-1.757	-4.687	-7.761	-9.802	-10.919	-11.554	-11.958	-12.570	-12.908	-12.975
12.750	0.642	3.239	-1.695	-4.625	-7.700	-9.741	-10.857	-11.492	-11.897	-12.509	-12.847	-12.914
13.000	0.702	3.299	-1.635	-4.565	-7.640	-9.680	-10.797	-11.432	-11.836	-12.448	-12.786	-12.853
13.250	0.761	3.358	-1.576	-4.506	-7.580	-9.621	-10.738	-11.373	-11.777	-12.389	-12.727	-12.794
13.500	0.819	3.416	-1.518	-4.448	-7.523	-9.563	-10.680	-11.315	-11.719	-12.332	-12.669	-12.736
13.750	0.875	3.472	-1.461	-4.392	-7.466	-9.507	-10.623	-11.258	-11.663	-12.275	-12.613	-12.680
14.000	0.930	3.527	-1.407	-4.337	-7.411	-9.452	-10.569	-11.203	-11.608	-12.220	-12.558	-12.625
14.250	0.984	3.580	-1.353	-4.283	-7.358	-9.399	-10.515	-11.150	-11.555	-12.167	-12.505	-12.572
14.500	1.035	3.632	-1.302	-4.232	-7.307	-9.347	-10.464	-11.099	-11.503	-12.116	-12.453	-12.520
